球団,ポジション,ポジション詳細,背番号,選手名
阪神,投手,先発,12,青柳 晃洋
阪神,投手,中継ぎ,13,岩崎 優
広島,投手,先発,15,森下 暢仁
日本ハム,投手,先発,16,伊藤 大海
オリックス,投手,先発,17,山本 由伸
楽天,投手,先発,18,田中 将大
DeNA,投手,抑え,19,山﨑 康晃
広島,投手,抑え,20,栗林 良吏
ソフトバンク,投手,先発,21,千賀 滉大
中日,投手,先発,22,大野 雄大
西武,投手,抑え,61,平良 海馬
阪神,捕手,捕手,7,梅野 隆太郎
ソフトバンク,捕手,捕手,10,甲斐 拓也
ヤクルト,内野手,二塁手,1,山田 哲人
西武,内野手,遊撃手,2,源田 壮亮
楽天,内野手,二塁手,3,浅村 栄斗
広島,内野手,二塁手,4,菊池 涼介
巨人,内野手,遊撃手,6,坂本 勇人
ヤクルト,内野手,三塁手,55,村上 宗隆
日本ハム,外野手,外野手,8,近藤 健介
ソフトバンク,外野手,外野手,9,柳田 悠岐
ソフトバンク,外野手,外野手,31,栗原 陵矢
オリックス,外野手,外野手,34,吉田 正尚
広島,外野手,外野手,51,鈴木 誠也
